imdb_id,cast,director
"""tt0468569""","[{""adult"": false, ""gender"": 2, ""id"": 3894, ""known_for_department"": ""Acting"", ""name"": ""Christian Bale"", ""original_name"": ""Christian Bale"", ""popularity"": 21.129, ""profile_path"": ""/b7fTC9WFkgqGOv77mLQtmD4Bwjx.jpg"", ""cast_id"": 35, ""character"": ""Bruce Wayne / Batman"", ""credit_id"": ""52fe4220c3a36847f8005d17"", ""order"": 0}, {""adult"": false, ""gender"": 2, ""id"": 1810, ""known_for_department"": ""Acting"", ""name"": ""Heath Ledger"", ""original_name"": ""Heath Ledger"", ""popularity"": 18.005, ""profile_path"": ""/5Y9HnYYa9jF4NunY9lSgJGjSe8E.jpg"", ""cast_id"": 3, ""character"": ""Joker"", ""credit_id"": ""52fe421fc3a36847f8005cbf"", ""order"": 1}, {""adult"": false, ""gender"": 2, ""id"": 3895, ""known_for_department"": ""Acting"", ""name"": ""Michael Caine"", ""original_name"": ""Michael Caine"", ""popularity"": 29.125, ""profile_path"": ""/89jN7ah4qxOcwK0jm9sFzNojSoq.jpg"", ""cast_id"": 17, ""character"": ""Alfred Pennyworth"", ""credit_id"": ""52fe4220c3a36847f8005cf9"", ""order"": 2}, {""adult"": false, ""gender"": 2, ""id"": 64, ""known_for_department"": ""Acting"", ""name"": ""Gary Oldman"", ""original_name"": ""Gary Oldman"", ""popularity"": 115.175, ""profile_path"": ""/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg"", ""cast_id"": 16, ""character"": ""James Gordon"", ""credit_id"": ""52fe4220c3a36847f8005cf5"", ""order"": 3}, {""adult"": false, ""gender"": 2, ""id"": 6383, ""known_for_department"": ""Acting"", ""name"": ""Aaron Eckhart"", ""original_name"": ""Aaron Eckhart"", ""popularity"": 17.071, ""profile_path"": ""/5EFQvRHlpP1Iaw2e6vjOaBny6DV.jpg"", ""cast_id"": 15, ""character"": ""Harvey Dent / Two-Face"", ""credit_id"": ""52fe4220c3a36847f8005cf1"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 525, ""known_for_department"": ""Directing"", ""name"": ""Christopher Nolan"", ""original_name"": ""Christopher Nolan"", ""popularity"": 19.044, ""profile_path"": ""/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg"", ""credit_id"": ""5e83ac8b6e3b68001464b691"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt0121766""","[{""adult"": false, ""gender"": 2, ""id"": 17244, ""known_for_department"": ""Acting"", ""name"": ""Hayden Christensen"", ""original_name"": ""Hayden Christensen"", ""popularity"": 30.844, ""profile_path"": ""/hqEgJYEUvZvL9ytmmiYBbbt63qd.jpg"", ""cast_id"": 12, ""character"": ""Anakin Skywalker / Darth Vader"", ""credit_id"": ""52fe431fc3a36847f803bed7"", ""order"": 0}, {""adult"": false, ""gender"": 2, ""id"": 3061, ""known_for_department"": ""Acting"", ""name"": ""Ewan McGregor"", ""original_name"": ""Ewan McGregor"", ""popularity"": 43.932, ""profile_path"": ""/aEmyadfRXTmmR7UW7OXsm5a6smS.jpg"", ""cast_id"": 13, ""character"": ""Obi-Wan Kenobi"", ""credit_id"": ""52fe431fc3a36847f803bedb"", ""order"": 1}, {""adult"": false, ""gender"": 1, ""id"": 524, ""known_for_department"": ""Acting"", ""name"": ""Natalie Portman"", ""original_name"": ""Natalie Portman"", ""popularity"": 50.054, ""profile_path"": ""/edPU5HxncLWa1YkgRPNkSd68ONG.jpg"", ""cast_id"": 14, ""character"": ""Padm\u00e9 Amidala"", ""credit_id"": ""52fe431fc3a36847f803bedf"", ""order"": 2}, {""adult"": false, ""gender"": 2, ""id"": 27762, ""known_for_department"": ""Acting"", ""name"": ""Ian McDiarmid"", ""original_name"": ""Ian McDiarmid"", ""popularity"": 11.344, ""profile_path"": ""/jeoA2UQdKoz5rp4xLv0O32gzJ38.jpg"", ""cast_id"": 15, ""character"": ""Chancellor Palpatine / Darth Sidious"", ""credit_id"": ""52fe431fc3a36847f803bee3"", ""order"": 3}, {""adult"": false, ""gender"": 2, ""id"": 2231, ""known_for_department"": ""Acting"", ""name"": ""Samuel L. Jackson"", ""original_name"": ""Samuel L. Jackson"", ""popularity"": 41.851, ""profile_path"": ""/nCJJ3NVksYNxIzEHcyC1XziwPVj.jpg"", ""cast_id"": 19, ""character"": ""Mace Windu"", ""credit_id"": ""52fe431fc3a36847f803bef3"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 1, ""known_for_department"": ""Directing"", ""name"": ""George Lucas"", ""original_name"": ""George Lucas"", ""popularity"": 13.058, ""profile_path"": ""/WCSZzWdtPmdRxH9LUCVi2JPCSJ.jpg"", ""credit_id"": ""52fe431fc3a36847f803be97"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt0499549""","[{""adult"": false, ""gender"": 2, ""id"": 65731, ""known_for_department"": ""Acting"", ""name"": ""Sam Worthington"", ""original_name"": ""Sam Worthington"", ""popularity"": 50.65, ""profile_path"": ""/blKKsHlJIL9PmUQZB8f3YmMBW5Y.jpg"", ""cast_id"": 242, ""character"": ""Jake Sully"", ""credit_id"": ""5602a8a7c3a3685532001c9a"", ""order"": 0}, {""adult"": false, ""gender"": 1, ""id"": 8691, ""known_for_department"": ""Acting"", ""name"": ""Zoe Salda\u00f1a"", ""original_name"": ""Zoe Salda\u00f1a"", ""popularity"": 69.312, ""profile_path"": ""/vQBwmsSOAd0JDaEcZ5p43J9xzsY.jpg"", ""cast_id"": 3, ""character"": ""Neytiri"", ""credit_id"": ""52fe48009251416c750ac9cb"", ""order"": 1}, {""adult"": false, ""gender"": 1, ""id"": 10205, ""known_for_department"": ""Acting"", ""name"": ""Sigourney Weaver"", ""original_name"": ""Sigourney Weaver"", ""popularity"": 48.379, ""profile_path"": ""/flfhep27iBxseZIlxOMHt6zJFX1.jpg"", ""cast_id"": 25, ""character"": ""Dr. Grace Augustine"", ""credit_id"": ""52fe48009251416c750aca39"", ""order"": 2}, {""adult"": false, ""gender"": 2, ""id"": 32747, ""known_for_department"": ""Acting"", ""name"": ""Stephen Lang"", ""original_name"": ""Stephen Lang"", ""popularity"": 27.265, ""profile_path"": ""/xEBuFWrCKDQD6r6CZK71GYIc4UW.jpg"", ""cast_id"": 4, ""character"": ""Colonel Miles Quaritch"", ""credit_id"": ""52fe48009251416c750ac9cf"", ""order"": 3}, {""adult"": false, ""gender"": 1, ""id"": 17647, ""known_for_department"": ""Acting"", ""name"": ""Michelle Rodriguez"", ""original_name"": ""Michelle Rodriguez"", ""popularity"": 18.881, ""profile_path"": ""/jxSSvm0MwG7JVpKwRFL1a4mYiic.jpg"", ""cast_id"": 5, ""character"": ""Trudy Chacon"", ""credit_id"": ""52fe48009251416c750ac9d3"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 2710, ""known_for_department"": ""Directing"", ""name"": ""James Cameron"", ""original_name"": ""James Cameron"", ""popularity"": 23.499, ""profile_path"": ""/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg"", ""credit_id"": ""52fe48009251416c750ac9c3"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt0407304""","[{""adult"": false, ""gender"": 2, ""id"": 500, ""known_for_department"": ""Acting"", ""name"": ""Tom Cruise"", ""original_name"": ""Tom Cruise"", ""popularity"": 36.668, ""profile_path"": ""/8qBylBsQf4llkGrWR3qAsOtOU8O.jpg"", ""cast_id"": 13, ""character"": ""Ray Ferrier"", ""credit_id"": ""52fe4213c3a36847f800226b"", ""order"": 0}, {""adult"": false, ""gender"": 1, ""id"": 501, ""known_for_department"": ""Acting"", ""name"": ""Dakota Fanning"", ""original_name"": ""Dakota Fanning"", ""popularity"": 40.389, ""profile_path"": ""/6bNiiHnZZfA7YYIxO5FszvNFBlI.jpg"", ""cast_id"": 14, ""character"": ""Rachel Ferrier"", ""credit_id"": ""52fe4213c3a36847f800226f"", ""order"": 1}, {""adult"": false, ""gender"": 2, ""id"": 503, ""known_for_department"": ""Acting"", ""name"": ""Justin Chatwin"", ""original_name"": ""Justin Chatwin"", ""popularity"": 20.262, ""profile_path"": ""/qByFlG1GqX2PTM7J8r14wSQwbZ.jpg"", ""cast_id"": 16, ""character"": ""Robbie Ferrier"", ""credit_id"": ""52fe4213c3a36847f8002277"", ""order"": 2}, {""adult"": false, ""gender"": 1, ""id"": 502, ""known_for_department"": ""Acting"", ""name"": ""Miranda Otto"", ""original_name"": ""Miranda Otto"", ""popularity"": 17.245, ""profile_path"": ""/lVkzCNNGwesZjOmwrDjro6ZPar.jpg"", ""cast_id"": 15, ""character"": ""Mary-Ann"", ""credit_id"": ""52fe4213c3a36847f8002273"", ""order"": 3}, {""adult"": false, ""gender"": 2, ""id"": 504, ""known_for_department"": ""Acting"", ""name"": ""Tim Robbins"", ""original_name"": ""Tim Robbins"", ""popularity"": 21.724, ""profile_path"": ""/hsCu1JUzQQ4pl7uFxAVFLOs9yHh.jpg"", ""cast_id"": 17, ""character"": ""Harlan Ogilvy"", ""credit_id"": ""52fe4213c3a36847f800227b"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 488, ""known_for_department"": ""Directing"", ""name"": ""Steven Spielberg"", ""original_name"": ""Steven Spielberg"", ""popularity"": 28.089, ""profile_path"": ""/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg"", ""credit_id"": ""52fe4213c3a36847f8002225"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt0360717""","[{""adult"": false, ""gender"": 1, ""id"": 3489, ""known_for_department"": ""Acting"", ""name"": ""Naomi Watts"", ""original_name"": ""Naomi Watts"", ""popularity"": 18.899, ""profile_path"": ""/5CUTSxpKpUoXPr9diZ97MsA71LZ.jpg"", ""cast_id"": 5, ""character"": ""Ann Darrow"", ""credit_id"": ""52fe422ec3a36847f800a19f"", ""order"": 0}, {""adult"": false, ""gender"": 2, ""id"": 70851, ""known_for_department"": ""Acting"", ""name"": ""Jack Black"", ""original_name"": ""Jack Black"", ""popularity"": 49.0, ""profile_path"": ""/rtCx0fiYxJVhzXXdwZE2XRTfIKE.jpg"", ""cast_id"": 6, ""character"": ""Carl Denham"", ""credit_id"": ""52fe422ec3a36847f800a1a3"", ""order"": 1}, {""adult"": false, ""gender"": 2, ""id"": 3490, ""known_for_department"": ""Acting"", ""name"": ""Adrien Brody"", ""original_name"": ""Adrien Brody"", ""popularity"": 25.881, ""profile_path"": ""/1dBItgLFBNGEXnI48VvnnN2vFaX.jpg"", ""cast_id"": 7, ""character"": ""Jack Driscoll"", ""credit_id"": ""52fe422ec3a36847f800a1a7"", ""order"": 2}, {""adult"": false, ""gender"": 2, ""id"": 3491, ""known_for_department"": ""Acting"", ""name"": ""Thomas Kretschmann"", ""original_name"": ""Thomas Kretschmann"", ""popularity"": 20.367, ""profile_path"": ""/7M0P39a3CVA22dJyv5YQEkTThU7.jpg"", ""cast_id"": 8, ""character"": ""Captain Englehorn"", ""credit_id"": ""52fe422ec3a36847f800a1ab"", ""order"": 3}, {""adult"": false, ""gender"": 2, ""id"": 3492, ""known_for_department"": ""Acting"", ""name"": ""Colin Hanks"", ""original_name"": ""Colin Hanks"", ""popularity"": 7.411, ""profile_path"": ""/xe44rLf5CbEY0ovNaOD0RIy5VCJ.jpg"", ""cast_id"": 9, ""character"": ""Preston"", ""credit_id"": ""52fe422ec3a36847f800a1af"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 108, ""known_for_department"": ""Directing"", ""name"": ""Peter Jackson"", ""original_name"": ""Peter Jackson"", ""popularity"": 14.228, ""profile_path"": ""/bNc908d59Ba8VDNr4eCcm4G1cR.jpg"", ""credit_id"": ""52fe422ec3a36847f800a189"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt0372784""","[{""adult"": false, ""gender"": 2, ""id"": 3894, ""known_for_department"": ""Acting"", ""name"": ""Christian Bale"", ""original_name"": ""Christian Bale"", ""popularity"": 21.129, ""profile_path"": ""/b7fTC9WFkgqGOv77mLQtmD4Bwjx.jpg"", ""cast_id"": 13, ""character"": ""Bruce Wayne / Batman"", ""credit_id"": ""52fe4230c3a36847f800ac3d"", ""order"": 0}, {""adult"": false, ""gender"": 2, ""id"": 3895, ""known_for_department"": ""Acting"", ""name"": ""Michael Caine"", ""original_name"": ""Michael Caine"", ""popularity"": 29.125, ""profile_path"": ""/89jN7ah4qxOcwK0jm9sFzNojSoq.jpg"", ""cast_id"": 14, ""character"": ""Alfred Pennyworth"", ""credit_id"": ""52fe4230c3a36847f800ac41"", ""order"": 1}, {""adult"": false, ""gender"": 2, ""id"": 3896, ""known_for_department"": ""Acting"", ""name"": ""Liam Neeson"", ""original_name"": ""Liam Neeson"", ""popularity"": 70.308, ""profile_path"": ""/bboldwqSC6tdw2iL6631c98l2Mn.jpg"", ""cast_id"": 15, ""character"": ""Henri Ducard / Ra's al Ghul"", ""credit_id"": ""52fe4230c3a36847f800ac45"", ""order"": 2}, {""adult"": false, ""gender"": 1, ""id"": 3897, ""known_for_department"": ""Acting"", ""name"": ""Katie Holmes"", ""original_name"": ""Katie Holmes"", ""popularity"": 20.882, ""profile_path"": ""/xOrcQo5OP7JJ68MGT1k7gkWcXki.jpg"", ""cast_id"": 16, ""character"": ""Rachel Dawes"", ""credit_id"": ""52fe4230c3a36847f800ac49"", ""order"": 3}, {""adult"": false, ""gender"": 2, ""id"": 64, ""known_for_department"": ""Acting"", ""name"": ""Gary Oldman"", ""original_name"": ""Gary Oldman"", ""popularity"": 115.175, ""profile_path"": ""/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg"", ""cast_id"": 8, ""character"": ""James Gordon"", ""credit_id"": ""52fe4230c3a36847f800ac35"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 525, ""known_for_department"": ""Directing"", ""name"": ""Christopher Nolan"", ""original_name"": ""Christopher Nolan"", ""popularity"": 19.044, ""profile_path"": ""/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg"", ""credit_id"": ""5e83acf488bbe60018a69a1e"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt0348150""","[{""adult"": false, ""gender"": 2, ""id"": 17271, ""known_for_department"": ""Acting"", ""name"": ""Brandon Routh"", ""original_name"": ""Brandon Routh"", ""popularity"": 9.82, ""profile_path"": ""/iPonANuyk3eOHjADqd4h9sBwvX1.jpg"", ""cast_id"": 3, ""character"": ""Superman / Clark Kent"", ""credit_id"": ""52fe42f8c3a36847f8030b65"", ""order"": 0}, {""adult"": false, ""gender"": 2, ""id"": 1979, ""known_for_department"": ""Acting"", ""name"": ""Kevin Spacey"", ""original_name"": ""Kevin Spacey"", ""popularity"": 12.285, ""profile_path"": ""/dlVRkUYKyZdJ39AN55cY1LoyXAP.jpg"", ""cast_id"": 1, ""character"": ""Lex Luthor"", ""credit_id"": ""52fe42f8c3a36847f8030b61"", ""order"": 1}, {""adult"": false, ""gender"": 1, ""id"": 7517, ""known_for_department"": ""Acting"", ""name"": ""Kate Bosworth"", ""original_name"": ""Kate Bosworth"", ""popularity"": 34.368, ""profile_path"": ""/egbJ47dPYvcWrr4NLmVBhDuirhl.jpg"", ""cast_id"": 4, ""character"": ""Lois Lane"", ""credit_id"": ""52fe42f8c3a36847f8030b69"", ""order"": 2}, {""adult"": false, ""gender"": 2, ""id"": 11006, ""known_for_department"": ""Acting"", ""name"": ""James Marsden"", ""original_name"": ""James Marsden"", ""popularity"": 30.516, ""profile_path"": ""/rKC9jFV501EHwVPeyEXICMNnLBg.jpg"", ""cast_id"": 10, ""character"": ""Richard White"", ""credit_id"": ""52fe42f8c3a36847f8030b8b"", ""order"": 3}, {""adult"": false, ""gender"": 1, ""id"": 7489, ""known_for_department"": ""Acting"", ""name"": ""Parker Posey"", ""original_name"": ""Parker Posey"", ""popularity"": 11.934, ""profile_path"": ""/eWZbjpBmdW4nb2Fo3ekqABGqpzm.jpg"", ""cast_id"": 11, ""character"": ""Kitty Kowalski"", ""credit_id"": ""52fe42f8c3a36847f8030b8f"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 9032, ""known_for_department"": ""Directing"", ""name"": ""Bryan Singer"", ""original_name"": ""Bryan Singer"", ""popularity"": 6.553, ""profile_path"": ""/ts06thbCv9Ug2mNpcbcrmLGRL4Q.jpg"", ""credit_id"": ""52fe42f8c3a36847f8030b6f"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt0388795""","[{""adult"": false, ""gender"": 2, ""id"": 1810, ""known_for_department"": ""Acting"", ""name"": ""Heath Ledger"", ""original_name"": ""Heath Ledger"", ""popularity"": 18.005, ""profile_path"": ""/5Y9HnYYa9jF4NunY9lSgJGjSe8E.jpg"", ""cast_id"": 11, ""character"": ""Ennis Del Mar"", ""credit_id"": ""52fe421dc3a36847f8005317"", ""order"": 0}, {""adult"": false, ""gender"": 2, ""id"": 131, ""known_for_department"": ""Acting"", ""name"": ""Jake Gyllenhaal"", ""original_name"": ""Jake Gyllenhaal"", ""popularity"": 47.329, ""profile_path"": ""/rJdYHYNhlcOBwbPvDZVvt1xw7bi.jpg"", ""cast_id"": 12, ""character"": ""Jack Twist"", ""credit_id"": ""52fe421dc3a36847f800531b"", ""order"": 1}, {""adult"": false, ""gender"": 1, ""id"": 1812, ""known_for_department"": ""Acting"", ""name"": ""Michelle Williams"", ""original_name"": ""Michelle Williams"", ""popularity"": 24.935, ""profile_path"": ""/jn3BVMVbIptz2gc6Fhxo1qwJVvW.jpg"", ""cast_id"": 14, ""character"": ""Alma Beers"", ""credit_id"": ""52fe421dc3a36847f8005323"", ""order"": 2}, {""adult"": false, ""gender"": 1, ""id"": 1813, ""known_for_department"": ""Acting"", ""name"": ""Anne Hathaway"", ""original_name"": ""Anne Hathaway"", ""popularity"": 48.047, ""profile_path"": ""/tLelKoPNiyJCSEtQTz1FGv4TLGc.jpg"", ""cast_id"": 15, ""character"": ""Lureen Newsome"", ""credit_id"": ""52fe421dc3a36847f8005327"", ""order"": 3}, {""adult"": false, ""gender"": 2, ""id"": 1811, ""known_for_department"": ""Acting"", ""name"": ""Randy Quaid"", ""original_name"": ""Randy Quaid"", ""popularity"": 18.982, ""profile_path"": ""/cvooWcP6WUPzupwq7AUKnoNUInW.jpg"", ""cast_id"": 13, ""character"": ""Joe Aguirre"", ""credit_id"": ""52fe421dc3a36847f800531f"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 1614, ""known_for_department"": ""Directing"", ""name"": ""Ang Lee"", ""original_name"": ""Ang Lee"", ""popularity"": 8.261, ""profile_path"": ""/jrmdsPZI5WT4rmOl20Gb1Y2femb.jpg"", ""credit_id"": ""52fe421dc3a36847f80052dd"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt0381061""","[{""adult"": false, ""gender"": 2, ""id"": 8784, ""known_for_department"": ""Acting"", ""name"": ""Daniel Craig"", ""original_name"": ""Daniel Craig"", ""popularity"": 30.751, ""profile_path"": ""/iFerDZUmC5Fu26i4qI8xnUVEHc7.jpg"", ""cast_id"": 1, ""character"": ""James Bond"", ""credit_id"": ""52fe45f29251416c91043e59"", ""order"": 0}, {""adult"": false, ""gender"": 1, ""id"": 10912, ""known_for_department"": ""Acting"", ""name"": ""Eva Green"", ""original_name"": ""Eva Green"", ""popularity"": 46.944, ""profile_path"": ""/vwjOWfUeDk5fQr8jraKlR1Yfxxq.jpg"", ""cast_id"": 5, ""character"": ""Vesper Lynd"", ""credit_id"": ""52fe45f29251416c91043e6f"", ""order"": 1}, {""adult"": false, ""gender"": 2, ""id"": 1019, ""known_for_department"": ""Acting"", ""name"": ""Mads Mikkelsen"", ""original_name"": ""Mads Mikkelsen"", ""popularity"": 36.913, ""profile_path"": ""/ntwPvV4GKGGHO3I7LcHMwhXfsw9.jpg"", ""cast_id"": 6, ""character"": ""Le Chiffre"", ""credit_id"": ""52fe45f29251416c91043e73"", ""order"": 2}, {""adult"": false, ""gender"": 1, ""id"": 5309, ""known_for_department"": ""Acting"", ""name"": ""Judi Dench"", ""original_name"": ""Judi Dench"", ""popularity"": 10.418, ""profile_path"": ""/cpna5VGvAxuKuC31xJPBKy9zbnv.jpg"", ""cast_id"": 18, ""character"": ""M"", ""credit_id"": ""52fe45f29251416c91043ea3"", ""order"": 3}, {""adult"": false, ""gender"": 2, ""id"": 2954, ""known_for_department"": ""Acting"", ""name"": ""Jeffrey Wright"", ""original_name"": ""Jeffrey Wright"", ""popularity"": 15.435, ""profile_path"": ""/yGcuHGW4glqRpOPxgiCvjcren7F.jpg"", ""cast_id"": 7, ""character"": ""Felix Leiter"", ""credit_id"": ""52fe45f29251416c91043e77"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 10702, ""known_for_department"": ""Directing"", ""name"": ""Martin Campbell"", ""original_name"": ""Martin Campbell"", ""popularity"": 2.663, ""profile_path"": ""/vPT3FJrBE35yRpbbkLWQthhEDcr.jpg"", ""credit_id"": ""52fe45f29251416c91043e5f"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt1375666""","[{""adult"": false, ""gender"": 2, ""id"": 6193, ""known_for_department"": ""Acting"", ""name"": ""Leonardo DiCaprio"", ""original_name"": ""Leonardo DiCaprio"", ""popularity"": 64.195, ""profile_path"": ""/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg"", ""cast_id"": 1, ""character"": ""Dom Cobb"", ""credit_id"": ""52fe4534c3a368484e04de03"", ""order"": 0}, {""adult"": false, ""gender"": 2, ""id"": 24045, ""known_for_department"": ""Acting"", ""name"": ""Joseph Gordon-Levitt"", ""original_name"": ""Joseph Gordon-Levitt"", ""popularity"": 23.264, ""profile_path"": ""/lDlo5LFmrxrxa3iXqiwwNj1w52X.jpg"", ""cast_id"": 3, ""character"": ""Arthur"", ""credit_id"": ""52fe4534c3a368484e04de0b"", ""order"": 1}, {""adult"": false, ""gender"": 2, ""id"": 3899, ""known_for_department"": ""Acting"", ""name"": ""Ken Watanabe"", ""original_name"": ""Ken Watanabe"", ""popularity"": 12.438, ""profile_path"": ""/psAXOYp9SBOXvg6AXzARDedNQ9P.jpg"", ""cast_id"": 2, ""character"": ""Saito"", ""credit_id"": ""52fe4534c3a368484e04de07"", ""order"": 2}, {""adult"": false, ""gender"": 2, ""id"": 2524, ""known_for_department"": ""Acting"", ""name"": ""Tom Hardy"", ""original_name"": ""Tom Hardy"", ""popularity"": 131.223, ""profile_path"": ""/4CR1D9VLWZcmGgh4b6kKuY2NOel.jpg"", ""cast_id"": 7, ""character"": ""Eames"", ""credit_id"": ""52fe4534c3a368484e04de1b"", ""order"": 3}, {""adult"": false, ""gender"": 3, ""id"": 27578, ""known_for_department"": ""Acting"", ""name"": ""Elliot Page"", ""original_name"": ""Elliot Page"", ""popularity"": 22.768, ""profile_path"": ""/3gVm1jSZERNTCKqtgXRC0J3COtn.jpg"", ""cast_id"": 5, ""character"": ""Ariadne"", ""credit_id"": ""52fe4534c3a368484e04de13"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 525, ""known_for_department"": ""Directing"", ""name"": ""Christopher Nolan"", ""original_name"": ""Christopher Nolan"", ""popularity"": 19.044, ""profile_path"": ""/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg"", ""credit_id"": ""5e83ac2ee33f830018359a00"", ""department"": ""Directing"", ""job"": ""Director""}"
"""tt1060277""","[{""adult"": false, ""gender"": 2, ""id"": 32278, ""known_for_department"": ""Directing"", ""name"": ""Matt Reeves"", ""original_name"": ""Matt Reeves"", ""popularity"": 8.007, ""profile_path"": ""/5rA459xpMt6IeJG7ZqvhLbSozEH.jpg"", ""cast_id"": 146, ""character"": ""Radio Announcer (voice)"", ""credit_id"": ""5b60a27ec3a368189d001337"", ""order"": 0}, {""adult"": false, ""gender"": 2, ""id"": 51991, ""known_for_department"": ""Acting"", ""name"": ""Michael Stahl-David"", ""original_name"": ""Michael Stahl-David"", ""popularity"": 3.222, ""profile_path"": ""/eHDOcBnXcRD9Ls3APP7qMpzjNFn.jpg"", ""cast_id"": 14, ""character"": ""Rob Hawkins"", ""credit_id"": ""52fe4472c3a36847f8096919"", ""order"": 1}, {""adult"": false, ""gender"": 2, ""id"": 51990, ""known_for_department"": ""Acting"", ""name"": ""T.J. Miller"", ""original_name"": ""T.J. Miller"", ""popularity"": 13.771, ""profile_path"": ""/rRrVvBxOkyYM5XdLXimShHR1Itn.jpg"", ""cast_id"": 13, ""character"": ""Hudson 'Hud' Platt"", ""credit_id"": ""52fe4472c3a36847f8096915"", ""order"": 2}, {""adult"": false, ""gender"": 1, ""id"": 51988, ""known_for_department"": ""Acting"", ""name"": ""Lizzy Caplan"", ""original_name"": ""Lizzy Caplan"", ""popularity"": 25.808, ""profile_path"": ""/lS9DOi0kF8xZdN8tzvJWUKZ6ANY.jpg"", ""cast_id"": 11, ""character"": ""Marlena Diamond"", ""credit_id"": ""52fe4472c3a36847f809690d"", ""order"": 3}, {""adult"": false, ""gender"": 1, ""id"": 51989, ""known_for_department"": ""Acting"", ""name"": ""Jessica Lucas"", ""original_name"": ""Jessica Lucas"", ""popularity"": 7.948, ""profile_path"": ""/nYS2J93VapM1GW5UdqMFqCxVMUv.jpg"", ""cast_id"": 12, ""character"": ""Lily Ford"", ""credit_id"": ""52fe4472c3a36847f8096911"", ""order"": 4}]","{""adult"": false, ""gender"": 2, ""id"": 32278, ""known_for_department"": ""Directing"", ""name"": ""Matt Reeves"", ""original_name"": ""Matt Reeves"", ""popularity"": 8.007, ""profile_path"": ""/5rA459xpMt6IeJG7ZqvhLbSozEH.jpg"", ""credit_id"": ""52fe4472c3a36847f80968d3"", ""department"": ""Directing"", ""job"": ""Director""}"
